Itemname,ItemName,Category,Tags,PriceTags
AMLA HAIR OIL ,amla hair oil ,oil,"20ml,90ml,180ml,450ml","18.15,40.41,80.83,182.78"
ARNICA OIL ,arnica oil ,oil,"100ml,200ml,500ml","47.35,84.59,144.01"
AUSTRO PAIN OIL ,austro pain oil ,oil,60ml,60
BIO OIL ,bio oil ,oil,"25ml,60ml","173.90,360.02"
CLOVE OIL,clove oil,oil,2ml,20.92
DIVYA PEEDANTAK TAIL,divya peedantak tail,oil,100ml,49.99
DR. ORTHO,dr. ortho,oil,"60ml,100ml,120ml","120.24,238.32,240.50"
DYNAPAR QPS PLUS SOLU ,dynapar qps plus solu ,oil,30ml,198.35
DYNAPAR QPS SPRAY ,dynapar qps spray ,oil,30ml,181.7
EMAMI 7OIL ,emami 7oil ,oil,"50ml,100ml","36.36,56.73"
FIGARO,figaro,oil,"100ml,200ml,1ltr,2ltr","138.00,222.02,790.61,1290.11"
KESHKANTI AMLA OIL ,keshkanti amla oil ,oil,200ml,71.11
MARCOGESIC OIL,marcogesic oil,oil,"30ml,60ml","56.32,103.40"
MYOSTAAL  OIL,myostaal  oil,oil,"30ml,60ml","74.01,122.01"
PR OIL   ,pr oil   ,oil,50ml,92.15
SIMYL MCT OIL  ,simyl mct oil  ,oil,100ml,161.3
AD VITAMIN BABY OIL     ,ad vitamin baby oil     ,oil,100ml,40
KESHKANTI  OIL ,keshkanti  oil ,oil,120ml,115.55
CHYAWANPRASH BD,chyawanprash bd,chyawanprash,"500g,1kg","138.96,250.88"
CEREGROW MULTI MILK&FRUITS,ceregrow multi milk&fruits,babycare,300gm,260.58
CERELAC 5GRAINS&FRUITS,cerelac 5grains&fruits,babycare,300gm,251.4233
CERELAC MIXED FRUIT 3,cerelac mixed fruit 3,babycare,400gm,222.0433
 CERELAC MULTI DALVEG, cerelac multi dalveg,babycare,300gm,235.7867
CERELAC MULTIGRAIN& FRUITS,cerelac multigrain& fruits,babycare,300gm,242.206
CERELAC RICE&FRUIT,cerelac rice&fruit,babycare,300gm,233.0383
